,priceCashFlowRatio,priceEarningsRatio,priceEarningsToGrowthRatio,priceBookValueRatio,currentRatio,quickRatio,payoutRatio,Class
523,7.902223081151,0.0,47.51407396171606,0.6881,1.131,0.8337086890483401,-0.189,1
524,5.1970529475983,6.9897,6.7238707627119005,0.9819,1.239,0.59213553649864,0.199,0
528,8.8946573096359,10.1242,9.8792597301794,2.9202,1.538,0.8444548872180501,0.336,1
530,6.3534855288863,11.4174,11.342993308899,0.0,1.349,0.96327123794425,0.128,1
536,2.624801828582,3.0453,2.9190376672404,0.537,0.959,0.53673502557484,0.0,0
537,16.323480418766998,38.6739,38.814545454545005,2.6284,0.474,0.39344050338318,0.0,1
539,11.398575643232999,20.0123,19.685196688153997,1.797,0.557,0.31083021589241,0.622,1
541,9.9941302513675,18.6234,18.432186645007,3.49,1.165,0.8053533930965899,0.182,1
542,32.592271720404,0.0,47.51407396171606,0.846,2.516,1.4616617583746,0.0,1
544,9.9443171756757,15.2401,15.172772597938001,4.6739,1.293,0.82701678397401,0.218,1
545,9.224463018830699,9.4451,9.2802268588796,1.2025,0.06554896807850001,0.054956333915681,0.266,1
547,10.827669371806,15.6096,15.132744215809,2.6511,0.7190000000000001,0.52759552296411,0.317,1
549,5.2558373906774,7.2578,7.113933254620202,1.6129,1.4780000000000002,1.0287632904309,0.261,1
550,11.904744028406999,27.4555,27.472990561201,3.4897,2.4090000000000003,2.034824294425,0.0,1
551,10.135022626588,34.3146,34.250474942438004,3.1184,2.094,1.9591776388876,0.0,1
553,7.490386376325799,18.6842,18.391545817508,1.8308,0.561,0.24667245616035,0.619,1
556,7.200380758563,16.5053,16.433136478843,3.4946,2.295,1.3053633285431998,0.0,0
558,24.808074052231003,4.657,4.6303539766866,1.0858,1.077,0.8148859889937701,0.0,1
559,7.948557412398901,23.9426,23.84228987234,1.0836,1.706,0.67890647018561,0.08199999999999999,0
560,6.3210274539596,21.2697,20.988904559897,1.3812,1.916,1.1953747251244,0.276,0
562,6.2731383409080985,11.8601,11.847573420232,1.7384,2.908,1.7993676945551005,0.0,1
567,10.445274375361,14.4444,14.209267070086998,0.9511,0.015030999062093,0.010370381762842,0.528,1
570,2.3735974354238,0.0,47.51407396171606,0.5814,0.7979999999999999,0.7673722296044999,-0.011,0
571,6.901405756457598,20.4619,19.756489014085,2.1737,4.141,1.3782467532468,0.556,0
573,8.682481672824201,8.093,7.699244784730902,0.6171,0.63391188251001,0.46381842456609,0.135,1
575,3.3914936636388,7.1934,6.8625983180263,1.0431,1.834,0.33438796500876,0.189,1
578,11.269318497641999,26.9195,26.995214421438998,4.6392,2.219,1.4964443590236003,0.0,1
579,35.510181818182,0.0,47.51407396171606,3.1807,2.088,1.8195950831526,0.0,1
580,15.938540664351999,19.1519,19.053773956139,3.0477,3.129,2.3741749707373,0.342,1
585,10.803699670539999,15.1088,14.943027308067,1.1832,0.37923374079384,0.18576478184266,0.339,1
586,1.5223083918021003,8.4595,8.0950635738832,0.6928,0.6443278979150899,0.4069546268767,0.373,1
588,2.0132231404959,0.0,47.51407396171606,0.4607,1.5119999999999998,1.0302002755113002,0.0,0
590,2.5925691481747,5.7041,5.6532682349914,1.3632,0.701,0.60891750891781,0.104,1
591,9.051168899704699,11.1,11.394688811357,0.8334,0.032668444711569,0.023339969698108,0.536,1
